"","Channel_id","Channel_title","Rank","id","β"
"1","UC76G5sz2iIXyWk7bOXK2j6g","愛美教主 TV",1,"kLuP8vr5YHU","14.7780652680653"
"2","UC76G5sz2iIXyWk7bOXK2j6g","愛美教主 TV",1,"tobzOO1p7JY","14.7780652680653"
"3","UC_S7C4QPoZKTGH9DBz-1HCw","絕代雙Q",2,"_j7vi9Ho9T4","1.04096359743041"
"4","UC_S7C4QPoZKTGH9DBz-1HCw","絕代雙Q",2,"-1orNhMtQiA","1.04096359743041"
"5","UC_S7C4QPoZKTGH9DBz-1HCw","絕代雙Q",2,"-h-3eF-WsHc","1.04096359743041"
"6","UC_S7C4QPoZKTGH9DBz-1HCw","絕代雙Q",2,"-Ks4LA5Kuhg","1.04096359743041"
"7","UC_S7C4QPoZKTGH9DBz-1HCw","絕代雙Q",2,"-YcYulz0gGE","1.04096359743041"
"8","UC_S7C4QPoZKTGH9DBz-1HCw","絕代雙Q",2,"0fM5ZAtKnyw","1.04096359743041"
"9","UC_S7C4QPoZKTGH9DBz-1HCw","絕代雙Q",2,"0m-UhWbIx_8","1.04096359743041"
"10","UC_S7C4QPoZKTGH9DBz-1HCw","絕代雙Q",2,"0OFNJPGv7Gs","1.04096359743041"
"11","UC_S7C4QPoZKTGH9DBz-1HCw","絕代雙Q",2,"1qYRgd2UIXo","1.04096359743041"
"12","UC_S7C4QPoZKTGH9DBz-1HCw","絕代雙Q",2,"1vWYcyxFJnw","1.04096359743041"
"13","UC_S7C4QPoZKTGH9DBz-1HCw","絕代雙Q",2,"2nzD0p5nneQ","1.04096359743041"
"14","UC_S7C4QPoZKTGH9DBz-1HCw","絕代雙Q",2,"2rT93XclAUU","1.04096359743041"
"15","UC_S7C4QPoZKTGH9DBz-1HCw","絕代雙Q",2,"2SZ-NHQIqAI","1.04096359743041"
"16","UC_S7C4QPoZKTGH9DBz-1HCw","絕代雙Q",2,"4Yclri25mFw","1.04096359743041"
"17","UC_S7C4QPoZKTGH9DBz-1HCw","絕代雙Q",2,"51XyjJqNK7k","1.04096359743041"
"18","UC_S7C4QPoZKTGH9DBz-1HCw","絕代雙Q",2,"563pwhUOmlc","1.04096359743041"
"19","UC_S7C4QPoZKTGH9DBz-1HCw","絕代雙Q",2,"5QwXJVPyps8","1.04096359743041"
"20","UC_S7C4QPoZKTGH9DBz-1HCw","絕代雙Q",2,"5Rlh-8WBy94","1.04096359743041"
"21","UC_S7C4QPoZKTGH9DBz-1HCw","絕代雙Q",2,"5Yw6uV63dS4","1.04096359743041"
